run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000_twirl,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,0.9933777777777766,0,True,0.9966220750749404,0.0033779249250592,0.99326697090348,0.9932441501498812,1,1,0.9999999999999996,0.9933333333333328,0.0033779249250592,0.0066666666666668,0.99326697090348,0.9867555555555548
M1_N2_dephase_z_iid_p_p0.10000_twirl,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,0.937777777777776,0,True,0.962085308056872,0.0379146919431278,0.9270456638440286,0.924170616113744,1,1,0.9999999999999996,0.9333333333333323,0.0379146919431278,0.0666666666666668,0.9270456638440286,0.8755555555555543
M1_N2_dephase_z_iid_p_p0.20000_twirl,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,0.8844444444444433,0,True,0.914572864321608,0.0854271356783918,0.843741319663645,0.8291457286432161,1,1,0.9999999999999996,0.866666666666666,0.0854271356783918,0.1333333333333334,0.843741319663645,0.7688888888888882
M1_N2_dephase_z_iid_p_p0.30000_twirl,0,1,1,2,2,dephase_z,iid_p,0.3,0.3,0.8399999999999985,0,True,0.857142857142857,0.1428571428571427,0.7551020408163265,0.7142857142857143,1,1,0.9999999999999996,0.7999999999999993,0.1428571428571427,0.2,0.7551020408163265,0.6799999999999992
M1_N2_dephase_z_iid_p_p0.40000_twirl,0,1,1,2,2,dephase_z,iid_p,0.4,0.4,0.8044444444444436,0,True,0.7900552486187842,0.2099447513812155,0.6682640945026095,0.5801104972375688,1,1,0.9999999999999996,0.7333333333333328,0.2099447513812155,0.2666666666666666,0.6682640945026095,0.6088888888888885
M1_N2_dephase_z_iid_p_p0.50000_twirl,0,1,1,2,2,dephase_z,iid_p,0.5,0.5,0.7777777777777769,0,True,0.7142857142857141,0.2857142857142856,0.5918367346938775,0.4285714285714286,1,1,0.9999999999999996,0.6666666666666663,0.2857142857142856,0.3333333333333332,0.5918367346938775,0.5555555555555551
M1_N2_dephase_z_iid_p_p0.60000_twirl,0,1,1,2,2,dephase_z,iid_p,0.6,0.6,0.7599999999999991,0,True,0.6315789473684209,0.3684210526315788,0.5346260387811634,0.2631578947368421,1,1,0.9999999999999996,0.5999999999999998,0.3684210526315788,0.3999999999999999,0.5346260387811634,0.5199999999999997
M1_N2_dephase_z_iid_p_p0.70000_twirl,0,1,1,2,2,dephase_z,iid_p,0.7,0.7,0.7511111111111103,0,True,0.544378698224852,0.4556213017751478,0.503938937712265,0.0887573964497041,1,1,0.9999999999999996,0.533333333333333,0.4556213017751478,0.4666666666666665,0.503938937712265,0.5022222222222219
M1_N2_dephase_z_iid_p_p0.80000_twirl,0,1,1,2,2,dephase_z,iid_p,0.8,0.8,0.7511111111111097,0,True,0.4556213017751477,0.5443786982248521,0.503938937712265,0.0887573964497043,1,1,0.9999999999999996,0.4666666666666662,0.5443786982248521,0.5333333333333332,0.503938937712265,0.5022222222222216
M1_N2_dephase_z_iid_p_p0.90000_twirl,0,1,1,2,2,dephase_z,iid_p,0.9,0.9,0.7599999999999987,0,True,0.3684210526315788,0.631578947368421,0.5346260387811634,0.2631578947368422,1,1,0.9999999999999996,0.3999999999999996,0.631578947368421,0.5999999999999999,0.5346260387811634,0.5199999999999994
M1_N4_dephase_z_iid_p_p0.01000_twirl,0,1,1,2,2,dephase_z,iid_p,0.01,0.01,0.9933777777777766,0,True,0.9966220750749404,0.0033779249250592,0.99326697090348,0.9932441501498812,1,1,0.9999999999999996,0.9933333333333328,0.0033779249250592,0.0066666666666668,0.99326697090348,0.9867555555555548
M1_N4_dephase_z_iid_p_p0.01000_twirl,1,1,2,4,4,dephase_z,iid_p,0.01,0.01,0.9901004384593284,0,True,0.9948997378182683,0.0051002621817314,0.9898515009851816,0.9897994756365368,2,1,0.9966220750749404,0.9900004474072744,0.0051002621817314,0.0099995525927252,0.9898515009851816,0.9802008769186584
M1_N4_dephase_z_iid_p_p0.10000_twirl,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,0.937777777777776,0,True,0.962085308056872,0.0379146919431278,0.9270456638440286,0.924170616113744,1,1,0.9999999999999996,0.9333333333333323,0.0379146919431278,0.0666666666666668,0.9270456638440286,0.8755555555555543
M1_N4_dephase_z_iid_p_p0.10000_twirl,1,1,2,4,4,dephase_z,iid_p,0.1,0.1,0.910379371532534,0,True,0.939897855962103,0.0601021440378967,0.8870202473601108,0.8797957119242062,2,1,0.962085308056872,0.9004739336492886,0.0601021440378967,0.0995260663507109,0.8870202473601108,0.8207587430650698
M1_N4_dephase_z_iid_p_p0.20000_twirl,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,0.8844444444444433,0,True,0.914572864321608,0.0854271356783918,0.843741319663645,0.8291457286432161,1,1,0.9999999999999996,0.866666666666666,0.0854271356783918,0.1333333333333334,0.843741319663645,0.7688888888888882
M1_N4_dephase_z_iid_p_p0.20000_twirl,1,1,2,4,4,dephase_z,iid_p,0.2,0.2,0.8424282215095569,0,True,0.8608854650639967,0.1391145349360029,0.7604766377889147,0.7217709301279939,2,1,0.914572864321608,0.8040201005025123,0.1391145349360029,0.1959798994974874,0.7604766377889147,0.6848564430191153
M1_N4_dephase_z_iid_p_p0.30000_twirl,0,1,1,2,2,dephase_z,iid_p,0.3,0.3,0.8399999999999985,0,True,0.857142857142857,0.1428571428571427,0.7551020408163265,0.7142857142857143,1,1,0.9999999999999996,0.7999999999999993,0.1428571428571427,0.2,0.7551020408163265,0.6799999999999992
M1_N4_dephase_z_iid_p_p0.30000_twirl,1,1,2,4,4,dephase_z,iid_p,0.3,0.3,0.7959183673469379,0,True,0.7692307692307689,0.2307692307692307,0.6449704142011834,0.5384615384615383,2,1,0.857142857142857,0.714285714285714,0.2307692307692307,0.2857142857142857,0.6449704142011834,0.5918367346938771
M1_N4_dephase_z_iid_p_p0.40000_twirl,0,1,1,2,2,dephase_z,iid_p,0.4,0.4,0.8044444444444436,0,True,0.7900552486187842,0.2099447513812155,0.6682640945026095,0.5801104972375688,1,1,0.9999999999999996,0.7333333333333328,0.2099447513812155,0.2666666666666666,0.6682640945026095,0.6088888888888885
M1_N4_dephase_z_iid_p_p0.40000_twirl,1,1,2,4,4,dephase_z,iid_p,0.4,0.4,0.7683220902902833,0,True,0.6761749632513605,0.3238250367486392,0.5620752353532366,0.3523499265027212,2,1,0.7900552486187842,0.635359116022099,0.3238250367486392,0.3646408839779005,0.5620752353532366,0.536644180580568
M1_N4_dephase_z_iid_p_p0.50000_twirl,0,1,1,2,2,dephase_z,iid_p,0.5,0.5,0.7777777777777769,0,True,0.7142857142857141,0.2857142857142856,0.5918367346938775,0.4285714285714286,1,1,0.9999999999999996,0.6666666666666663,0.2857142857142856,0.3333333333333332,0.5918367346938775,0.5555555555555551
