run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_depolarizing_iid_p_p0.01000,0,1,1,2,2,depolarizing,iid_p,0.01,0.01,0.9933777777777768,0,False,0.9966220750749404,0.0033779249250591,0.99326697090348,0.9932441501498814,1,1,0.9999999999999996,0.9933333333333328,0.0033779249250591,0.0066666666666666,0.99326697090348,0.986755555555555
M1_N2_depolarizing_iid_p_p0.10000,0,1,1,2,2,depolarizing,iid_p,0.1,0.1,0.9377777777777768,0,False,0.9620853080568716,0.0379146919431279,0.9270456638440284,0.9241706161137438,1,1,0.9999999999999996,0.9333333333333328,0.0379146919431279,0.0666666666666667,0.9270456638440284,0.875555555555555
M1_N2_depolarizing_iid_p_p0.20000,0,1,1,2,2,depolarizing,iid_p,0.2,0.2,0.8844444444444435,0,False,0.914572864321608,0.0854271356783918,0.8437413196636447,0.8291457286432161,1,1,0.9999999999999996,0.8666666666666661,0.0854271356783918,0.1333333333333333,0.8437413196636447,0.7688888888888883
M1_N2_depolarizing_iid_p_p0.30000,0,1,1,2,2,depolarizing,iid_p,0.3,0.3,0.8399999999999992,0,False,0.8571428571428571,0.1428571428571426,0.7551020408163267,0.7142857142857144,1,1,0.9999999999999996,0.7999999999999997,0.1428571428571426,0.1999999999999999,0.7551020408163267,0.6799999999999997
M1_N2_depolarizing_iid_p_p0.40000,0,1,1,2,2,depolarizing,iid_p,0.4,0.4,0.8044444444444437,0,False,0.7900552486187844,0.2099447513812153,0.6682640945026098,0.580110497237569,1,1,0.9999999999999996,0.7333333333333331,0.2099447513812153,0.2666666666666666,0.6682640945026098,0.6088888888888886
M1_N2_depolarizing_iid_p_p0.50000,0,1,1,2,2,depolarizing,iid_p,0.5,0.5,0.7777777777777772,0,False,0.7142857142857143,0.2857142857142855,0.5918367346938777,0.4285714285714287,1,1,0.9999999999999996,0.6666666666666664,0.2857142857142855,0.3333333333333332,0.5918367346938777,0.5555555555555555
M1_N2_depolarizing_iid_p_p0.60000,0,1,1,2,2,depolarizing,iid_p,0.6,0.6,0.7599999999999993,0,False,0.6315789473684209,0.3684210526315788,0.5346260387811634,0.2631578947368421,1,1,0.9999999999999996,0.5999999999999998,0.3684210526315788,0.3999999999999999,0.5346260387811634,0.5199999999999998
M1_N2_depolarizing_iid_p_p0.70000,0,1,1,2,2,depolarizing,iid_p,0.7,0.7,0.7511111111111106,0,False,0.5443786982248521,0.4556213017751477,0.503938937712265,0.0887573964497042,1,1,0.9999999999999996,0.5333333333333332,0.4556213017751477,0.4666666666666665,0.503938937712265,0.5022222222222221
M1_N2_depolarizing_iid_p_p0.80000,0,1,1,2,2,depolarizing,iid_p,0.8,0.8,0.7511111111111102,0,False,0.4556213017751478,0.544378698224852,0.503938937712265,0.0887573964497041,1,1,0.9999999999999996,0.4666666666666664,0.544378698224852,0.5333333333333332,0.503938937712265,0.5022222222222218
M1_N2_depolarizing_iid_p_p0.90000,0,1,1,2,2,depolarizing,iid_p,0.9,0.9,0.759999999999999,0,False,0.3684210526315788,0.631578947368421,0.5346260387811634,0.2631578947368421,1,1,0.9999999999999996,0.3999999999999997,0.631578947368421,0.5999999999999999,0.5346260387811634,0.5199999999999996
